page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
55878,Raven Darkholme (Earth-616),\/Raven_Darkholme_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,371.0,Apr-78,1978.0
1180,Felicia Hardy (Earth-616),\/Felicia_Hardy_(Earth-616),Public Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,332.0,Jul-79,1979.0
1514,Amora (Earth-616),\/Amora_(Earth-616),Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,247.0,Apr-64,1964.0
2065,Ophelia Sarkissian (Earth-616),\/Ophelia_Sarkissian_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,175.0,Feb-69,1969.0
1809,Hela (Earth-616),\/Hela_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,,Deceased Characters,170.0,Mar-64,1964.0
119342,Veranke (Earth-616),\/Veranke_(Earth-616),No Dual Identity,Bad Characters,Green Eyes,Green Hair,Female Characters,,Deceased Characters,156.0,Jan-05,2005.0
2067,Giuletta Nefaria (Earth-616),\/Giuletta_Nefaria_(Earth-616),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Female Characters,,Living Characters,149.0,Jan-68,1968.0
2072,Madelyne Pryor (Earth-616),\/Madelyne_Pryor_(Earth-616),Public Identity,Bad Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,146.0,Apr-83,1983.0
4703,Mary Walker (Earth-616),\/Mary_Walker_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,111.0,May-88,1988.0
5513,Mary MacPherran (Earth-616),\/Mary_MacPherran_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,108.0,Jul-84,1984.0
1955,Yuriko Oyama (Earth-616),\/Yuriko_Oyama_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,99.0,Aug-83,1983.0
2520,Selene Gallio (Earth-616),\/Selene_Gallio_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,92.0,Nov-83,1983.0
24456,Sinthea Shmidt (Earth-616),\/Sinthea_Shmidt_(Earth-616),Public Identity,Bad Characters,Brown Eyes,No Hair,Female Characters,,Living Characters,91.0,Feb-84,1984.0
2385,Satana Hellstrom (Earth-616),\/Satana_Hellstrom_(Earth-616),No Dual Identity,Bad Characters,Red Eyes,Red Hair,Female Characters,,Living Characters,84.0,Oct-73,1973.0
2294,Zelda DuBois (Earth-616),\/Zelda_DuBois_(Earth-616),Public Identity,Bad Characters,Green Eyes,Auburn Hair,Female Characters,,Living Characters,81.0,Mar-65,1965.0
1622,Maria Callasantos (Earth-616),\/Maria_Callasantos_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,77.0,Mar-91,1991.0
1066,Blanche Sitznski (Earth-616),\/Blanche_Sitznski_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,69.0,Jun-80,1980.0
117507,Criti Noll (Clone) (Earth-616),\/Criti_Noll_(Clone)_(Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Female Characters,,Deceased Characters,68.0,Sep-06,2006.0
2188,Morgan le Fay (Earth-616),\/Morgan_le_Fay_(Earth-616),No Dual Identity,Bad Characters,Green Eyes,Purple Hair,Female Characters,,Living Characters,65.0,May-55,1955.0
104599,Lily Hollister (Earth-616),\/Lily_Hollister_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,64.0,Jan-08,2008.0
2403,Vertigo (Savage Land Mutate) (Earth-616),\/Vertigo_(Savage_Land_Mutate)_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Green Hair,Female Characters,,Deceased Characters,63.0,Mar-82,1982.0
1094,Philippa Sontag (Earth-616),\/Philippa_Sontag_(Earth-616),Secret Identity,Bad Characters,Violet Eyes,Black Hair,Female Characters,,Living Characters,57.0,Oct-86,1986.0
2655,Hera Argeia (Earth-616),\/Hera_Argeia_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,56.0,Apr-49,1949.0
2209,Nebula (Earth-616),\/Nebula_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Female Characters,,Living Characters,56.0,Jul-85,1985.0
2035,Llyra Morris (Earth-616),\/Llyra_Morris_(Earth-616),No Dual Identity,Bad Characters,Green Eyes,Green Hair,Female Characters,,Living Characters,50.0,Dec-70,1970.0
2628,Deidre Wentworth (Earth-616),\/Deidre_Wentworth_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,Homosexual Characters,Living Characters,49.0,Jul-91,1991.0
1577,Umar (Earth-616),\/Umar_(Earth-616),Public Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,48.0,Nov-66,1966.0
2214,Nekra Sinclair (Earth-616),\/Nekra_Sinclair_(Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Female Characters,,Deceased Characters,48.0,Aug-73,1973.0
2045,Lorelei (Asgardian) (Earth-616),\/Lorelei_(Asgardian)_(Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,48.0,Nov-83,1983.0
19524,Frances Barrison (Earth-616),\/Frances_Barrison_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blue Hair,Female Characters,,Living Characters,48.0,May-93,1993.0
12123,Regan Wyngarde (Earth-616),\/Regan_Wyngarde_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,47.0,Dec-01,2001.0
126872,Maki Matsumoto (Earth-616),\/Maki_Matsumoto_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,45.0,Nov-08,2008.0
2369,Thursday Rubinstein (Earth-616),\/Thursday_Rubinstein_(Earth-616),Secret Identity,Bad Characters,,No Hair,Female Characters,,Living Characters,43.0,Feb-76,1976.0
2491,Carolyn Trainer (Earth-616),\/Carolyn_Trainer_(Earth-616),Secret Identity,Bad Characters,,Pink Hair,Female Characters,,Living Characters,43.0,Sep-95,1995.0
3978,Justine Hammer (Earth-616),\/Justine_Hammer_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,42.0,Jun-97,1997.0
1759,Sybil Dvorak (Earth-616),\/Sybil_Dvorak_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,Bisexual Characters,Living Characters,40.0,Jan-79,1979.0
2026,Kiskillilla (Earth-616),\/Kiskillilla_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Black Hair,Female Characters,,Deceased Characters,40.0,Aug-92,1992.0
16964,Sarah Ryall (Earth-616),\/Sarah_Ryall_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,40.0,Dec-92,1992.0
30250,Miss Locke (Earth-616),\/Miss_Locke_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Deceased Characters,39.0,Jan-78,1978.0
5595,Ananym (Earth-616),\/Ananym_(Earth-616),Secret Identity,Bad Characters,White Eyes,Red Hair,Female Characters,,Living Characters,39.0,Nov-89,1989.0
24458,Susan Scarbo (Earth-616),\/Susan_Scarbo_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,,Deceased Characters,38.0,Mar-70,1970.0
1218,Jackie Lukus (Earth-616),\/Jackie_Lukus_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,38.0,Jun-88,1988.0
2725,Tilda Johnson (Earth-616),\/Tilda_Johnson_(Earth-616),,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,37.0,Aug-73,1973.0
1199,Yelena Belova (Earth-616),\/Yelena_Belova_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,37.0,Mar-99,1999.0
1583,Carmella Unuscione (Earth-616),\/Carmella_Unuscione_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,36.0,Mar-93,1993.0
35895,Monica Rappaccini (Earth-616),\/Monica_Rappaccini_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,36.0,Jun-05,2005.0
11832,Quicksand (Earth-616),\/Quicksand_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,,Female Characters,,Living Characters,34.0,Jun-88,1988.0
241865,Anastasia Kravinoff (Earth-616),\/Anastasia_Kravinoff_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Female Characters,,Living Characters,33.0,Sep-08,2008.0
1303,Sharon Smith (Earth-616),\/Sharon_Smith_(Earth-616),Secret Identity,Bad Characters,Purple Eyes,Purple Hair,Female Characters,,Deceased Characters,32.0,Jun-84,1984.0
129901,Bronwen Gryffn (Earth-616),\/Bronwen_Gryffn_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,32.0,Jun-92,1992.0
